School,Team,Div.,Rank,Skipper,Races,Crew,Races
Tufts University,Jumbos,A,17,Bram Brakman '21,11-12,Bram Brakman '21,7-10
Tufts University,Jumbos,A,17,Bram Brakman '21,11-12,Lara Dienemann '18,11-12
Tufts University,Jumbos,B,12,Jack Bitney '19,11-12,Lara Dienemann '18,"1-8,11-12"
Tufts University,Jumbos,B,12,Jack Bitney '19,11-12,Ian Morgan '19,9-10
Tufts University,Jumbos,C,12,Florian Eenkema Van Dijk '19,1-7,Emily Shanley-Roberts '18,"1-4,7"
Tufts University,Jumbos,C,12,Emily Shanley-Roberts '18,8-10,Jackson McCoy '19,"5-6,8-10"
Tufts University,Jumbos,C,12,Jackson McCoy '19,11-12,Wells Drayton '21,11-12
U. S. Coast Guard Academy,Bears,A,1,Mack Fox '20,,Brian Nelson '21,
U. S. Coast Guard Academy,Bears,B,13,Shane Riera '21,,Christina Nothacker '21,
U. S. Coast Guard Academy,Bears,C,2,Austin Lettengarver '19,,Anna Maria Vaccaro '19,
University of Rhode Island,Rams,A,12,Luke Ingalls '21,,Ellis Havelock '18,"1-4,7-12"
University of Rhode Island,Rams,A,12,Luke Ingalls '21,,Caitlin Abel '21,5-6
University of Rhode Island,Rams,B,2,Dakota Northrup '19,,Caroline Rocchio '20,"1-4,7-8,11"
University of Rhode Island,Rams,B,2,Dakota Northrup '19,,Nicholas Chaloux '20,5-6
University of Rhode Island,Rams,B,2,Dakota Northrup '19,,Matthew Gibbs '17,"9-10,12"
University of Rhode Island,Rams,C,13,Brendan Read '19,,Lauren Richards '19,"1-4,7-8,10-12"
University of Rhode Island,Rams,C,13,Brendan Read '19,,Ryan Geib '19,"5-6,9"
University of Vermont,Catamounts,A,15,Colin Richards '20,,Amanda Engeman '20,
University of Vermont,Catamounts,B,17,Jan Kite-Powell '19,,Nellie Stidham '21,
University of Vermont,Catamounts,C,17,Vincent Yannelli '19,,Gabrielle Myers '21,
Yale University,Bulldogs,A,6,Nicholas Baird '19,,Graceann Nicolosi '20,"1-6,10"
Yale University,Bulldogs,A,6,Nicholas Baird '19,,Claudia Loiacono '21,"7-9,11-12"
Yale University,Bulldogs,B,10,Shawn Harvey '21,,Katharina (KB) Knapp '18,1-2
Yale University,Bulldogs,B,10,Shawn Harvey '21,,Claudia Loiacono '21,3-8
Yale University,Bulldogs,B,10,Shawn Harvey '21,,Christopher Champa '18,9-12
Yale University,Bulldogs,C,6,Casey Klingler '18,,Christopher Champa '18,"1-6,8"
Yale University,Bulldogs,C,6,Casey Klingler '18,,Katharina (KB) Knapp '18,"7,11"
Yale University,Bulldogs,C,6,Casey Klingler '18,,Claire Huebner '18,"9-10,12"
